auroc,auprc,f1_opt,prec_opt,rec_opt,best_thr,shd,shd_norm,k_true,f1_topk,shd_topk,method,setting,n,acc,seed,time,tau
0.30603448275862066,0.12317205135449669,0.22727272727232029,0.41666666666663194,0.15624999999999512,0.4747600351745759,34,0.08947368421052632,32,0.18749999999949418,52,NOTEARS,"n=100,acc=0.4",100,0.4,0,70.74011969566345,
0.2802622126436782,0.10526226849708767,0.15533980582509865,0.08421052631578925,0.9999999999999687,0.0,348,0.9157894736842105,32,0.09374999999949708,58,NOTEARS+mask,"n=100,acc=0.4",100,0.4,0,65.72186636924744,
0.42411997126436785,0.1658827008674445,0.3265306122444315,0.47058823529409,0.24999999999999217,0.4520613691914621,33,0.0868421052631579,32,0.24999999999949218,48,DAGMA,"n=100,acc=0.4",100,0.4,0,26.675662994384766,
0.5777658045977011,0.20537886090754792,0.3174603174598075,0.32258064516127993,0.31249999999999023,0.1827776012708194,43,0.11315789473684211,32,0.31249999999949024,44,PRCD-MAP(learn_tau),"n=100,acc=0.4",100,0.4,0,42.5749146938324,1.345279574394226
0.3922483766233767,0.12774183757467567,0.28070175438545525,0.27586206896550775,0.28571428571427554,0.3070333644972375,41,0.10789473684210527,28,0.24999999999949107,42,NOTEARS,"n=100,acc=0.4",100,0.4,1,67.76375651359558,
0.453226461038961,0.1254459174335395,0.24999999999950354,0.299999999999985,0.21428571428570664,0.3359120934452843,36,0.09473684210526316,28,0.21428571428520662,44,NOTEARS+mask,"n=100,acc=0.4",100,0.4,1,66.1802453994751,
0.45322646103896114,0.14199152865138176,0.2941176470583305,0.24999999999999373,0.3571428571428444,0.23290659015502163,48,0.12631578947368421,28,0.28571428571377555,40,DAGMA,"n=100,acc=0.4",100,0.4,1,26.09589958190918,
0.7780032467532468,0.48715656194874696,0.6037735849051392,0.6399999999999745,0.5714285714285511,0.2255735064870748,21,0.05526315789473684,28,0.571428571428051,24,PRCD-MAP(learn_tau),"n=100,acc=0.4",100,0.4,1,41.52843260765076,0.05000000074505806
0.35018726591760296,0.09539652136591924,0.18181818181777412,0.3333333333332963,0.1249999999999948,0.43106559113641485,27,0.07105263157894737,24,0.16666666666615976,40,NOTEARS,"n=100,acc=0.4",100,0.4,2,62.03409814834595,
0.4104634831460674,0.11370975024886691,0.18518518518468452,0.16666666666666113,0.20833333333332466,0.2101605759194149,44,0.11578947368421053,24,0.12499999999949479,42,NOTEARS+mask,"n=100,acc=0.4",100,0.4,2,62.51753497123718,
0.45049157303370785,0.12390497059532943,0.18181818181768333,0.16129032258063997,0.20833333333332466,0.19750292456928809,45,0.11842105263157894,24,0.16666666666615976,40,DAGMA,"n=100,acc=0.4",100,0.4,2,26.25698232650757,
0.608497191011236,0.1809618006230916,0.2978723404250195,0.30434782608694333,0.29166666666665453,0.1728944682595718,33,0.0868421052631579,24,0.29166666666615454,34,PRCD-MAP(learn_tau),"n=100,acc=0.4",100,0.4,2,41.738611936569214,0.39367589354515076
0.5423728813559323,0.19872502840367368,0.3934426229503176,0.34285714285713303,0.4615384615384438,0.2105022210571634,37,0.09736842105263158,26,0.3076923076917959,36,NOTEARS,"n=100,acc=0.4",100,0.4,3,67.17759418487549,
0.5757279443720121,0.2682173087464635,0.45454545454495043,0.5555555555555247,0.38461538461536987,0.2777123720801655,24,0.06315789473684211,26,0.3846153846148699,32,NOTEARS+mask,"n=100,acc=0.4",100,0.4,3,71.19057703018188,
0.5136897001303782,0.19343984204165823,0.3793103448270785,0.34374999999998923,0.4230769230769068,0.23478396454049114,36,0.09473684210526316,26,0.3461538461533329,34,DAGMA,"n=100,acc=0.4",100,0.4,3,26.633326053619385,
0.7878096479791395,0.4814304368875604,0.607142857142338,0.5666666666666478,0.6538461538461288,0.14688033674230527,22,0.05789473684210526,26,0.5769230769225547,22,PRCD-MAP(learn_tau),"n=100,acc=0.4",100,0.4,3,45.28978252410889,1.524999976158142
0.4603580562659847,0.1921480970970818,0.3333333333328535,0.46153846153842604,0.26086956521738,0.480114332994624,24,0.06315789473684211,23,0.30434782608644334,32,NOTEARS,"n=100,acc=0.4",100,0.4,4,70.34983730316162,
0.31360370235050544,0.06305875745032015,0.12121212121169146,0.19999999999998,0.08695652173912666,0.4423443672045991,29,0.07631578947368421,23,0.08695652173862665,42,NOTEARS+mask,"n=100,acc=0.4",100,0.4,4,65.91320133209229,
0.40141273900864693,0.13340216304483057,0.2941176470583685,0.45454545454541323,0.21739130434781664,0.5071818636889434,24,0.06315789473684211,23,0.21739130434731666,36,DAGMA,"n=100,acc=0.4",100,0.4,4,26.77043628692627,
0.7386432834003167,0.38990625854209043,0.5581395348831975,0.59999999999997,0.52173913043476,0.2655373793750552,19,0.05,23,0.5217391304342599,22,PRCD-MAP(learn_tau),"n=100,acc=0.4",100,0.4,4,41.55790853500366,0.05000000074505806
0.30603448275862066,0.12317205135449669,0.22727272727232029,0.41666666666663194,0.15624999999999512,0.4747600351745759,34,0.08947368421052632,32,0.18749999999949418,52,NOTEARS,"n=100,acc=0.6",100,0.6,0,68.84832048416138,
0.5399155890804598,0.16642906255102707,0.28070175438546263,0.31999999999998724,0.24999999999999217,0.2827914992169519,41,0.10789473684210527,32,0.24999999999949218,48,NOTEARS+mask,"n=100,acc=0.6",100,0.6,0,66.49793815612793,
0.42411997126436785,0.1658827008674445,0.3265306122444315,0.47058823529409,0.24999999999999217,0.4520613691914621,33,0.0868421052631579,32,0.24999999999949218,48,DAGMA,"n=100,acc=0.6",100,0.6,0,29.06018590927124,
0.513469827586207,0.18969271700584006,0.2909090909085937,0.34782608695650663,0.24999999999999217,0.2634656360400981,39,0.10263157894736842,32,0.24999999999949218,48,PRCD-MAP(learn_tau),"n=100,acc=0.6",100,0.6,0,44.425124168395996,0.618423581123352
0.3922483766233767,0.12774183757467567,0.28070175438545525,0.27586206896550775,0.28571428571427554,0.3070333644972375,41,0.10789473684210527,28,0.24999999999949107,42,NOTEARS,"n=100,acc=0.6",100,0.6,1,64.73702645301819,
0.7228084415584417,0.39063930742696756,0.49999999999951455,0.6874999999999571,0.39285714285712886,0.3413200018992975,22,0.05789473684210526,28,0.46428571428519777,30,NOTEARS+mask,"n=100,acc=0.6",100,0.6,1,68.87230205535889,
0.45322646103896114,0.14199152865138176,0.2941176470583305,0.24999999999999373,0.3571428571428444,0.23290659015502163,48,0.12631578947368421,28,0.28571428571377555,40,DAGMA,"n=100,acc=0.6",100,0.6,1,25.640830755233765,
0.7459415584415584,0.41700390212141647,0.551724137930516,0.5333333333333156,0.5714285714285511,0.18827381355678616,26,0.06842105263157895,28,0.4999999999994822,28,PRCD-MAP(learn_tau),"n=100,acc=0.6",100,0.6,1,42.6537709236145,1.414451241493225
0.35018726591760296,0.09539652136591924,0.18181818181777412,0.3333333333332963,0.1249999999999948,0.43106559113641485,27,0.07105263157894737,24,0.16666666666615976,40,NOTEARS,"n=100,acc=0.6",100,0.6,2,65.34056425094604,
0.6058052434456929,0.26060235451682817,0.3508771929819563,0.3030303030302938,0.4166666666666493,0.17806931057168013,37,0.09736842105263158,24,0.3333333333328195,32,NOTEARS+mask,"n=100,acc=0.6",100,0.6,2,75.58667206764221,
0.45049157303370785,0.12390497059532943,0.18181818181768333,0.16129032258063997,0.20833333333332466,0.19750292456928809,45,0.11842105263157894,24,0.16666666666615976,40,DAGMA,"n=100,acc=0.6",100,0.6,2,26.609195232391357,
0.6875,0.24122288759434518,0.39024390243852,0.47058823529409,0.3333333333333195,0.18703766653885193,25,0.06578947368421052,24,0.3333333333328195,32,PRCD-MAP(learn_tau),"n=100,acc=0.6",100,0.6,2,43.13645005226135,0.6221221089363098
0.5423728813559323,0.19872502840367368,0.3934426229503176,0.34285714285713303,0.4615384615384438,0.2105022210571634,37,0.09736842105263158,26,0.3076923076917959,36,NOTEARS,"n=100,acc=0.6",100,0.6,3,68.8068618774414,
0.7477727075184701,0.450990248853683,0.608695652173395,0.6999999999999651,0.5384615384615178,0.2842781567693356,18,0.04736842105263158,26,0.5769230769225547,22,NOTEARS+mask,"n=100,acc=0.6",100,0.6,3,67.41126275062561,
0.5136897001303782,0.19343984204165823,0.3793103448270785,0.34374999999998923,0.4230769230769068,0.23478396454049114,36,0.09473684210526316,26,0.3461538461533329,34,DAGMA,"n=100,acc=0.6",100,0.6,3,26.344829559326172,
0.8176879617557583,0.5437983100140006,0.6666666666661427,0.6428571428571199,0.6923076923076658,0.14301261350737143,18,0.04736842105263158,26,0.6538461538456287,18,PRCD-MAP(learn_tau),"n=100,acc=0.6",100,0.6,3,43.12194871902466,1.3678526878356934
0.4603580562659847,0.1921480970970818,0.3333333333328535,0.46153846153842604,0.26086956521738,0.480114332994624,24,0.06315789473684211,23,0.30434782608644334,32,NOTEARS,"n=100,acc=0.6",100,0.6,4,69.35589981079102,
0.6163073925222263,0.2943161072859201,0.46511627906924824,0.499999999999975,0.4347826086956333,0.25693554375039873,23,0.060526315789473685,23,0.4347826086951333,26,NOTEARS+mask,"n=100,acc=0.6",100,0.6,4,66.57877969741821,
0.40141273900864693,0.13340216304483057,0.2941176470583685,0.45454545454541323,0.21739130434781664,0.5071818636889434,24,0.06315789473684211,23,0.21739130434731666,36,DAGMA,"n=100,acc=0.6",100,0.6,4,27.966702699661255,
0.8025819023261479,0.49547350784008454,0.6818181818176519,0.7142857142856803,0.65217391304345,0.22878962066305344,14,0.03684210526315789,23,0.6521739130429499,16,PRCD-MAP(learn_tau),"n=100,acc=0.6",100,0.6,4,43.56032466888428,0.5481932759284973
0.30603448275862066,0.12317205135449669,0.22727272727232029,0.41666666666663194,0.15624999999999512,0.4747600351745759,34,0.08947368421052632,32,0.18749999999949418,52,NOTEARS,"n=100,acc=0.9",100,0.9,0,69.36027550697327,
0.9461655890804598,0.8989574119121333,0.9152542372876081,0.999999999999963,0.8437499999999736,0.24176704614006692,5,0.013157894736842105,32,0.8437499999994735,10,NOTEARS+mask,"n=100,acc=0.9",100,0.9,0,65.2942304611206,
0.42411997126436785,0.1658827008674445,0.3265306122444315,0.47058823529409,0.24999999999999217,0.4520613691914621,33,0.0868421052631579,32,0.24999999999949218,48,DAGMA,"n=100,acc=0.9",100,0.9,0,28.07386875152588,
0.8007363505747127,0.5617876030999909,0.6666666666661467,0.7142857142856888,0.6249999999999805,0.16166912431093916,20,0.05263157894736842,32,0.6249999999994804,24,PRCD-MAP(learn_tau),"n=100,acc=0.9",100,0.9,0,47.23937439918518,1.8784394264221191
0.3922483766233767,0.12774183757467567,0.28070175438545525,0.27586206896550775,0.28571428571427554,0.3070333644972375,41,0.10789473684210527,28,0.24999999999949107,42,NOTEARS,"n=100,acc=0.9",100,0.9,1,64.62085318565369,
0.9755478896103896,0.9036244782807985,0.905660377357958,0.9599999999999617,0.8571428571428266,0.18829018806093303,5,0.013157894736842105,28,0.892857142856611,6,NOTEARS+mask,"n=100,acc=0.9",100,0.9,1,64.72395896911621,
0.45322646103896114,0.14199152865138176,0.2941176470583305,0.24999999999999373,0.3571428571428444,0.23290659015502163,48,0.12631578947368421,28,0.28571428571377555,40,DAGMA,"n=100,acc=0.9",100,0.9,1,26.103846073150635,
0.9844764610389611,0.9598823447507657,0.9454545454540114,0.9629629629629274,0.9285714285713955,0.18065412979030132,3,0.007894736842105263,28,0.9285714285708955,4,PRCD-MAP(learn_tau),"n=100,acc=0.9",100,0.9,1,42.61333346366882,1.9991945028305054
0.35018726591760296,0.09539652136591924,0.18181818181777412,0.3333333333332963,0.1249999999999948,0.43106559113641485,27,0.07105263157894737,24,0.16666666666615976,40,NOTEARS,"n=100,acc=0.9",100,0.9,2,64.56627631187439,
0.9305945692883895,0.879271548436308,0.9090909090903718,0.99999999999995,0.8333333333332986,0.21226878980895383,4,0.010526315789473684,24,0.8749999999994635,6,NOTEARS+mask,"n=100,acc=0.9",100,0.9,2,65.77169847488403,
0.45049157303370785,0.12390497059532943,0.18181818181768333,0.16129032258063997,0.20833333333332466,0.19750292456928809,45,0.11842105263157894,24,0.16666666666615976,40,DAGMA,"n=100,acc=0.9",100,0.9,2,26.119511365890503,
0.9474485018726592,0.8229394387915512,0.79999999999948,0.9999999999999376,0.666666666666639,0.1898765372271514,8,0.021052631578947368,24,0.7499999999994689,12,PRCD-MAP(learn_tau),"n=100,acc=0.9",100,0.9,2,42.81515717506409,1.727271318435669
0.5423728813559323,0.19872502840367368,0.3934426229503176,0.34285714285713303,0.4615384615384438,0.2105022210571634,37,0.09736842105263158,26,0.3076923076917959,36,NOTEARS,"n=100,acc=0.9",100,0.9,3,65.26623940467834,
0.9559973924380702,0.9102540003855794,0.919999999999464,0.9583333333332935,0.8846153846153506,0.12607889259280872,4,0.010526315789473684,26,0.8846153846148506,6,NOTEARS+mask,"n=100,acc=0.9",100,0.9,3,72.47193217277527,
0.5136897001303782,0.19343984204165823,0.3793103448270785,0.34374999999998923,0.4230769230769068,0.23478396454049114,36,0.09473684210526316,26,0.3461538461533329,34,DAGMA,"n=100,acc=0.9",100,0.9,3,29.77351713180542,
0.9724033029117775,0.8945361732531798,0.943396226414559,0.9259259259258917,0.9615384615384246,0.12242749468166025,3,0.007894736842105263,26,0.9230769230763876,4,PRCD-MAP(learn_tau),"n=100,acc=0.9",100,0.9,3,46.26584506034851,1.328099250793457
0.4603580562659847,0.1921480970970818,0.3333333333328535,0.46153846153842604,0.26086956521738,0.480114332994624,24,0.06315789473684211,23,0.30434782608644334,32,NOTEARS,"n=100,acc=0.9",100,0.9,4,71.85237622261047,
0.9015954207770065,0.8237308246461563,0.8780487804872695,0.9999999999999445,0.78260869565214,0.245995070766564,5,0.013157894736842105,23,0.7826086956516399,10,NOTEARS+mask,"n=100,acc=0.9",100,0.9,4,64.9195647239685,
0.40141273900864693,0.13340216304483057,0.2941176470583685,0.45454545454541323,0.21739130434781664,0.5071818636889434,24,0.06315789473684211,23,0.21739130434731666,36,DAGMA,"n=100,acc=0.9",100,0.9,4,26.407317399978638,
